Reference,Content,Reaction,Comment,Share
100232,"Hi NUSWhispers, would like borrow your platform to bring people's attention to an unscrupulous cups and cakes company on the treatment of its workers. They have gone on headlines before for underpaying the workers. Pretty obvious on the identity of the company already. (Maybe admin can delete/amend the obvious wording if it's not appropriate) My elderly relative (<60 y.o) started working there during Jan 21, after signing a contract that promised to pay her $1600 per mth, for working 4 days per week, 12 hrs a day, with 30 mins for lunch and dinner each. Have warned her not to join this company beforehand due to their despicable track record of underpaying the workers, but she wanted to give it a try since the upper management had changed. So while working there, she was not allowed to sit while manning the store, despite having such long working hours. She persevered through with her arthritic legs as she needed money badly. 2 weeks later into the job, this company started asking her to work for 1 more day of 12 hours as they do not have enough manpower, which meant there were 5 working days of 12hrs per week. Months later, there would be instances when she worked 6 days per week. They promised to give her the OT pay accordingly. However, they did not pay the correct amount of OT pay and basic salary to her. Her basic pay was only $1315 on the pay slip, and they contributed employer cpf of $172. The cpf contribution and the basic salary ($1315+$172=$1487) doesn't even add up to $1600. And shouldn't the employer cpf be on top of that agreed basic pay $1600? She started requesting the HR about the explanation of pay discrepancies. She needed to ask the HR repeatedly to even send her payslip when this should be provided timely without employee asking for it in the first place. Zzzz. On Jun 21, she was asked to stop working without a month or week of prior warning. They cited that the business was bad and told her to leave the company. This happened shortly after she started asking her pay. What a coincidence. If the business was not good, why was the outlet still operating after she have left for months?? So she went to MOM for help, and managed to recover some of her pay. When the deadline for escalating the matter was due in Jul 21, she told MOM that she did not want to pursue any further as she believed they will have bad karma soon. My ass, look at how this company is still thriving and surviving for years, with their unscrupulous means of underpaying their workers though the highest management has changed. Should it be the fault of the middle management or HR instead? Heard that they hired quite a lot of foreigners such as Malaysians who have to work 6 days per week, 12 hrs per day for that same amount of pay too. To me, that working hours are just insane. Freaking no life. Felt very unjustified for her, and would like to raise awareness on this issue. Everybody, please boycott and stop buying their products. They should cease to exist for exploiting their workers repeatedly. Not sure how but still hope that they would be investigated so that all the underpaid workers could be compensated.-#100232: https://www.nuswhispers.com/confession/100232","['Like: 40 people', 'Angry: 12 people', 'Wow: 7 people']",30 comments,10 shares
100231,"Does anyone had an experience of being sacked just because you're an introvert? Been sacked by company today and I feel so heartshattered as the boss announced my department so suddenly. Been told that she wasn't satisfied with my performance partly due to my weak communications and not being so open up as others. I was told that there wasn't any improvement on the communications over the time, but I mean if I am an introvert, like how can I improve on something that is the most fundamental that forms the part of the 'true' me? If you give other suggestions to improve on, yes maybe, but I feel honestly very difficult to transform onto extrovert within some months? The whole thing just makes me realize how unfriendly this society is to the introverts. I am kind, I love humanity, equality and advocate peace, but why is this society being so judgemental and disapprove of the introverts? I am forced out of a job just because I don't have the energy as others for socialising? Sadly I admit it is difficult to change how society wants to look, okay so I want to change myself ???? the question is: ???? should I transform into extroverts in a short period of time? Acting like on just makes me feel tired and hypocritical. Is there other suggestions guys I need help Does this means I will never get a long term commitment job, and be a part of some company if I am like this the way I am??? Please-#100231: https://www.nuswhispers.com/confession/100231","['Like: 67 people', 'Care: 30 people', 'Sad: 29 people']",74 comments,18 shares
100230,"How do you know if you truly love someone? How do you know if that someone is the one you want to get married with and spend the rest of your life together? The thought of marriage never scared me until recently, when my bf and I started to have more serious conversations over it. My parents also started talking to me about marriage in recent months. The thing is, my bf and I haven't been together long (1 year+), we got together slightly more than a month after my previous break up with a cheating bf and we have only known one another for a month at that point. I remember telling him that I needed more time to heal and be okay with myself before I can wholeheartedly be with him and love him, but he told me he didn't want to wait too long. His sincerity moved me and the way he was respectful to everyone even the taxi drivers and cleaning aunties were inspiring, which probably influenced my decision. We clicked almost instantly and even share lots of common interests. We like the same music, shows, culture, food, and even have similar opinions to almost everything in life. So, why am I scared of marriage then? I don't know, maybe because we disagree on many things as well? We often fight over the smallest thing and we can quarrel a good 2-3 times per week. I am someone low in physical touch but he expresses his affection and feels loved through physical touch. He is a rather needy person because he grew up rather lonely and wants to meet me at least 3-4 times a week when we're both working full time. We also fight over small things like why do I have to always remind him to take good care of his own health. When he talked about wanting to propose to me, I get quite scared sometimes, am I ready to get married? How can I be sure that he's the one? How do you guys know if your partner is the one u can live with and love wholeheartedly forever? Both our parents are divorced and we don't want that for ourselves. I'm so afraid of marriage failures because I don't want to end up like my parents, nor do I want my kids in the future to suffer the same way I did during the divorce. Advice please?-#100230: https://www.nuswhispers.com/confession/100230","['Like: 25 people', 'Care: 7 people', 'Sad: 3 people']",33 comments,5 shares
100226,"PM Lee says Covid can unite people but I say, Covid brings out the ugliest and worst side of humans. My dad was tested positive on Sunday. There was some messed up in between which causes his and his colleagues’ PCR results to be inconclusive, and needs to be retested on Sunday. I was with my bf when I heard the news, I panicked and quickly did an ART at his place. I was negative, subsequently, my mom and sis were also ART negative but my dad’s ART was positive. At that moment, he was already isolated in his own room. I was rushing around with the help of my bf to get things for my family to help my dad. Fast forward, Monday came and my bf said he lost his sense of smell and taste. ART negative, but PCR positive. That’s when shit came down. His family started the blame game, blaming me, him and my dad. Easy targets right since my dad’s positive. Since then, they’ve been pressuring me silently to do PCR. I’m tested ART negative every morning. In fact, I did twice ART a day just to show them. But they said ART inconclusive. Note that, I’ve no symptoms at all. And Wednesday was the breaking point for me, they wanted me to do a PCR. And me with no symptoms and ART negative for 5 days, had to pay $168 just to prove myself. And then my PCR was negative. Not a single word to say, that’s good! I’m glad you’re negative. They just shut their mouths. I’m seriously re-thinking my relationship. Marrying into such a toxic family will kill me. Lucky I wasn’t married yet. Covid brings out the ugliest side of humans. Instead of wishing my dad well, they wished we’re all positive and blamed my family. What a toxic family.-#100226: https://www.nuswhispers.com/confession/100226","['Like: 177 people', 'Sad: 58 people', 'Care: 34 people']",77 comments,30 shares
100224,"Life has been a bit of standstill and I find myself without any proper direction. Living alone in a new country for almost 20 months is difficult, with my family thousands of miles away. Days and weeks go by booking in and out, mostly at random times. Camp (National Service) life is mundane at best - not entirely a military boot camp, but rather doing admin services (even for a combat unit). My expectations for this was very high before coming to Singapore - I was actually looking forward to learning new skills. But, it has been disappointing. I cannot see my family due to travel restrictions, neither can I see them.  Going out places, I meet Singaporeans from different walks of life - on the trains, markets, malls, and even almost any outlet of McDonald's (which seems to be quite a favourite among the locals). Greeting neighbours along the corridor apparently isn't so common (even saying a simple hello). Some respond, some ignore. The young ladies seem very fashionable, modern and trendy, but I wished they had learnt to smile more. My landlord is about the same. She isn't consistent. Some days she is nice, other days she can be a pain. From her, I learnt that people can be just nice only if the gains benefit them. Maybe this is common when living under tenancy, which is a first for me. There are days where I feel quite opposing and boring. Other days, I feel quite energetic. I try to keep busy but after all, I'm still human.... I make mistakes. Who else agrees? Sorry, I will keep it short. Right now, I don't mind sharing my experiences to anyone, at least if it makes me feel a little better.-#100224: https://www.nuswhispers.com/confession/100224","['Care: 10 people', 'Like: 9 people', 'Sad: 1 person']",15 comments,1 share
100212,"I left my job as a banker 2 years ago and went into insurance. As a start, I do not have a stable income and could not contribute to the family expenses. My wife is not supportive of my decision. She is only earning 3k a month and we have been relying on her salary to pay for bills and expenses for the past 2 years. Due to covid, i am facing a lot of challenges at work (still a newbie… need to find prospects… couldn’t meet clients etc) and instead of being understanding, she kept complaining about me not bringing money home. She told me many times that she is struggling with the amount of money left for herself and that I should be doing my job too and not let her be the sole contributor of income in the family. “It is ok if you want to sell insurance.. but what if forever no sales how? You need to learn when to give up. Maybe you should try to do some part time jobs? Like food deliveries? Our priority now is to bring money back! We have a son to feed!”She wants me to give her a deadline? Like how? I am trying to meet people! Instead of encouraging me, she kept using words like “useless” “impractical” “childish” on me.I started confiding in an ex-classmate, who is also one of my insurance prospect. I told her about my wife not being understanding etc and she is really the complete opposite. Nah, We are just purely friends… she is not my type. I just wonder why cant my wife be like her? I have zoom meetings and training almost everyday and those meetings are very mentally draining. She scolds me when i nap and leave the son to her. She said that if i cannot contribute financially, i should be helping her with the kid. Am i really not practical? Advice please. PS: sorry my english not good. Pardon my grammar mistakes-#100212: https://www.nuswhispers.com/confession/100212","['Like: 25 people', 'Haha: 20 people', 'Sad: 8 people']",88 comments,27 shares
100221,"What are some advice on finding someone overseas? For context, I am a PhD student at US and have trouble looking for someone to date. Firstly, I am from a department that is mainly guys and secondly, I am rather reserved. I also thought about using dating apps but I am not a handsome fellow and dating apps tend to be superficial firsthand. I have also pushed myself to go for a few of the school events but most of them are dominated by guys and I don't really have much chance to interact with the opposite sex. Seems like the odds are really against me Prof Ben how did you find your gf/SO when you were studying at the US?-#100221: https://www.nuswhispers.com/confession/100221",['Like: 1 person'],0 Comments,3 comments
100213,"TLDR: Mother demands high monthly allowance from children, but won’t leave a single cent for them after deathMy mother has 3 kids, including me. All of us are working adults and have our own families (including kids). Ever since we started working years ago, my mother has requested that all of us give her $800 monthly allowance. She is perfectly healthy but doesn’t want to work. So just by staying at home, she receives $2400 from her children.Initially we were able to support her financially. But after we have our own families and kids, our spending is really high. Cost of infant/child care and domestic helper are not cheap. My brother has 3 kids in his family while I have 2. My other sibling also has 2 kids. Despite us having to feed so many mouths, our mother insists that we do not cut down on her monthly allowance. But there was a time when we asked her how much she spends each month, she said she is very thrifty and only spends a few hundred dollars. So why does she need $2400 each month? When she sees the doctor, we would pay for the bill. Even when she is hospitalised, we would help her pay for everything. She mainly spends our allowance on handphone bill, utilities bill and groceries (hence only a few hundred dollars spent). I just want to ask you people out there… do you slightly decrease the allowance you give to your parents after you have kids?Then recently we had a conversation with her about her finances. She has roughly $300k savings in the bank (most of it comes from the hefty allowance we give her). And she also told us that after she dies, she will donate all of her savings to charity and leave nothing for us. She said that doing such a good deed will bless her soul and she can reincarnate into a very good family in the next life. This means that we still have to fork out money for her funeral, which I heard can cost more than $50k.My siblings and I were very upset to hear this. We felt that she should at least leave some money to cover the cost of her funeral so as not to burden us financially. But she was very stubborn and didn’t want to change her mind. Then all of us suggested that we give her lesser monthly allowance (enough to support her needs) so that we can save up for her funeral, but she flew into a rage and called us unfilial. Seriously? Is our suggestion really unreasonable?-#100213: https://www.nuswhispers.com/confession/100213",['Like: 3 people'],0 Comments,10 comments
100207,"New graduate here. Kind of at wits end for this, appreciate any advice from people that might have dealt with this before (or maybe as a cautionary tale for others). I signed up for a extra credit card via Singsaver last year as a free gift (lmao) and just kept it in my wallet after with my default credit card. My dumb ass forgot about it and when I was making payment for my meal, took the wrong card out and paid for it.The bank sent a mail the next few months to remind me of the bill but I missed it due to their spam mails (and I was still blissfully unaware I had spent on the card). It was only after they closed the account and sent a physically letter when I realized my mistake. Paid the outstanding amount within a week....It occurred to me only this year that my credit score could be affected; I went to purchase my own CBS report and my current credit score is in the worse category (HH). Involuntary closure of account by the bank was the main contributing factor.I had tried appealing to the bank to remove the score for the above reasons... But they said they can't do anything about it.Any advice? Thanks.-#100207: https://www.nuswhispers.com/confession/100207",['No Reactions'],0 Comments,2 comments
100204,"I just want to rant. This happened in my previous workplace where I have left few years ago. My 31F ex colleague is extremely lazy and keeps getting pregnant literally every year so she is always away on maternity leave for 4 months every year. She was on her 4th pregnancy and I reckon she's gonna stop taking advantage of the long leave. My previous workplace was a fast faced environment that require us to constantly be on the ball but she refused to do her job and always using pregnancy as an excuse. I mean I know she's pregnant la but still need to do her job right??? It gets worse as her belly gets bigger and she just sits on the chair the WHOLE DAMN DAY without moving her ass, making other ppl do her job. I know being pregnant is tough and it's ok if she wants to take a break during work, but she can't always be making someone else do her job while she sits all day watching Facebook live during work. As my workplace is 100% women, there are others who got pregnant too and all of them followed her footsteps by being so lazy, doesn't do their jobs and pushing their work to other people. I can't even complain to the management bc the manager is their friend so there is no point. All of us just got to suck thumb and take on their extra load as the manager got their backs. If they keeps pushing their work to other ppl then can they also push their salary to them anot wth.Although I already left few years ago, I still couldn't shake off the feeling of despise when I see a colleague in my current office gets pregnant. My first impression will always be that they are going to be lazy and push their work to other ppl once their belly gets big. I know not every pregnant woman is like that and being a mom is a wonderful thing but 95% of the pregnant women I've met are so lazy at work so I can't help but wonder. Perhaps I have not met enough yet lol or they are just the black sheep of the herd, I was young then and it was my first FT job after graduating so for sure they have spoilt my impression of being pregnant bc now I don't even want to have kids bc of them.-#100204: https://www.nuswhispers.com/confession/100204","['Like: 1 person', 'Haha: 1 person']",0 Comments,2 comments
100198,"To the case of #100082 & #99991, I do have same encounter as what both of you are facing. Been with my Hubby from r/s to marriage for 10 years with kids and yes after many years of r/s, it can be leading a simple life of just taking care of kids, family and working. I'm standing in a POV in an open minded state. So my hub started off to be very close with a few female colleagues. They watsapp and even talk alot in work messengers. Initially, it was annoying and insecure that I started to have this thinking if he's going to stray or had the intention to do so but however, he was devoted to the family and still caring about me despite him talking alot to his female colleague. I then come to a few point of time, started to engage to one of a mummy friend n we talk everyday. We also talk about sensitive things like when how to make babies happily and our daily life encounters. Are we flirting? we are females and imagine, I talk to a guy like this! Then at another point of time, I had common thinking with a guy colleague on work culture and we decided to leave the company. Even after we left, we still talk to each other every other days. He's interested in TCM and we even shared which acupuncture points can be good to increase sexual drive after birth. I even know he had sex while wfh. In texts, it can sound like flirting but in fact, it is actually a way to rant or finding balance in life so when we face work or family, we don't feel so destress. I don't have hobby like gardening or sewing so, my only hobby i got is to talk to people and in this pandemic, we hardly meet people. If you spouse has the intention to cheat, here are some hints to lookout for 1. does your spouse want to meet the person who is close with? 2. does your spouse neglect you and your kids/family? 3. does your spouse typed in text that he/she has feelings for the colleague?  if yes to all the above , be prepared for the worst. if not, just leave it as everyone has their own ways to destress nn finding someone they comfort with to talk to. not just circulating around you.  i'm just sharing my POV. no bashing pls.-#100198: https://www.nuswhispers.com/confession/100198",['Like: 1 person'],0 Comments,2 comments
100184,"Hi. My life has been ups and downs recently. Firstly, I can't seem to find a more than 3K sal job. Secondly, I just got into my new job with slightly less than 3K, but problem is, I have been working for almost 10 years and my sal is less than 3K. Is qualifications really does matter working in SG?? Thirdly, I heard some feedbacks from my new company such as ""avoid 12-2pm in the email"" and ""sorry, I'm busy now"" when people assign me tasks to do, why is this such a big concern with these lines? I mean when people are busy, they will tend to say without thinking right?? And sometimes people wrote ""avoid 12-2pm is to prevent people coming to me during lunch when you are not around, no wrong right?? I just joined this company and my workload is piling up and gotten some feedbacks already. Should I continue to stay or leave? As is approaching year end, quite difficult to find job as well. Any advice?? TIA.-#100184: https://www.nuswhispers.com/confession/100184",['Like: 1 person'],0 Comments,1 comment
100182,"I really dislike how everyone puts pressure on me to find a guy. People I barely know will ask if I am attached. Then every cny relatives will ask if I am attached. It is really very tiring. Do u guys know that I am trying but I am just unattractive/unlucky? Of course not. And I don’t think I can just go like oh I got rejected by this person that’s why I am single. It really sucks when ur wound is still open and these people just sprinkle salt all over it and act like they are asking out of goodwill. Whether I’m single/attached/married/divorced/widowed or whatever it doesn’t concern any of you. Sometimes it is really tempting to simply find a random person on a dating app, settle down and act like a normal person conforming to stupid societal norms in order to shut everyone up. (I believe many turned to dating apps and settle for the best person they can find) Not against dating apps but I think in the long run I will be the one suffering because this person may not be who I really want. I hope these nosy people can stop adding unnecessary pressure onto all the single people out there.-#100182: https://www.nuswhispers.com/confession/100182","['Like: 4 people', 'Care: 1 person']",0 Comments,2 comments
100214,"I'm a freshie at the newly-established CHS, but I felt like I regretted coming here. The common curriculum modules, HSA1000, HSH1000 and GEA10000, really made me super depressed because I can't catch up with the pace, and the content is super alien to me. The telegram groups for the modules aren't that encouraging either, where every day, I just see these groups constantly flooded with messages from these people who are so damn onz about these modules. I know GEA cannot be helped, but why would NUS think it's a good idea to force all FASS and FOS students to take the same HSA1000 and HSH1000 mods. Every tutorial session is a nightmare, where all those FASS kids (for HSA/HSH) predominate EVERY conversation just to flex how much they know the content.-#100214: https://www.nuswhispers.com/confession/100214",['Like: 4 people'],1 comment,1 share
100191,"Of lossI have graduated just a few years back and have been working ever since. You were there in every moment of my life: going through every milestone with me, up till my graduation.People take things for granted and i was no exception. The CNY visits, the annual family dinners with the extended family, and you complaining about work, these are things that i have grown accustomed to. As you aged, you started to become unwell. You wanted to reassure us that you were healthy and well. And there were days where you were able to get a good sleep. But not once did i know that i had my very last conversation with you on a night that you looked better. Nobody is ever emotionally prepared for such a conversation, especially one that happened unexpectedly. I was lucky enough that you were there to at least see me graduate and get a job. You can rest at ease now and not be worried anymore. However, there were so many other milestones that i wanted to go through with you. It isn’t the major events that matter. It is the small things, the weekly dinners, the spot you used to sit in, the food you like to eat, the typical quirks that used to annoy us but now unmistakeably reminds us of you.I hope you will continue to look over us. We will take care of ourselves and forever remember you.-#100191: https://www.nuswhispers.com/confession/100191","['Care: 45 people', 'Like: 41 people', 'Sad: 21 people']",5 comments,7 shares
100183,"I understand this is a topic most Singaporeans can’t seem to wrap their head around, but I’d like to ask if anyone understands polyamory. I’ve know that I’m polyamorous for the longest time, and even more sure of my feelings for multiple people right now. If I know that I’m truly polyamorous, do you think that being in a rs with a monogamous person would work? Do you think that a polyamorous person should be with a monogamous person in the first place? Do you think it would be worth sacrificing myself and my freedom to love just to stay with someone monogamous who seems like a very good match for me, with the exception of our sexuality being a huge difference?-#100183: https://www.nuswhispers.com/confession/100183","['Like: 9 people', 'Haha: 6 people', 'Wow: 3 people']",19 comments,1 share
100181,"My mum decided to collect rent from me ($300/month because I share the room with her) saying it’s to cover food and utilities. If you are me, would you move out? I have contemplated about it many times because of our poor relationship but I stayed because I really hoped to improve our relationship. However, things don’t go my way and she always end up scolding me. Apart from feeling bad for moving out, I am afraid of struggling with finance because I don’t earn much.. Kindly share your advice please thank you!-#100181: https://www.nuswhispers.com/confession/100181","['Like: 37 people', 'Haha: 20 people']",113 comments,11 shares
100180,"Dear Prof Ben, would you say that you have always been objectively more intelligent than your peers throughout your life or can your accomplishments be attributed to a combination of raw intelligence and an unparalleled level of discipline? I was a middling student for 5 years at RI because I never put in much effort. I had to put in some effort for A levels for around 6 months in J2 and I still got 7 distinctions. I’m now in NUS and I have become very interested in a very niche topic in my field and I realized I want to pursue a PhD at a major US university. But for some reason I can’t get myself to put in the work because old patterns keep emerging where I would procrastinate for classes until just before exams where I’d spend 2-3 hours catching up. My grades are around 70% As and 30% Bs so far.I feel like my laziness keeps dragging me down. I know I have the talent for academia but I know I don’t have the character for it. Should I pursue something else or is there a way to fix my problem?-#100180: https://www.nuswhispers.com/confession/100180","['Like: 16 people', 'Care: 1 person']",6 comments,5 shares
100152,"I (21F) think I'm autistic/autistic spectrum, just low support needs.Apparently it is not exactly normal to just rote-learn social skills as ritualised, often weird patterns of expressing myself that I have to use like a second language to be understood, be THAT oblivious to tone, or be so extremely literal I have to consciously remember to fuzzy-logic a bit or I will freeze up/get confused constantly when speaking to anyone. Actually, all of that are normal symptoms of ASD in adult women. I never had speech delays, but now I learned that is also not a requirement.Now idk what to do also. I want to get diagnosed to check but the only clinics in SG that do this for adults are like $2k+. I'm also worried what this might mean for my interest in marketing/PR work - does this mean I will always have a disadvantage? I did my major to get work in that field. I also am not sure if employers won't discriminate against me if they find out - undiagnosed, I have plausible deniability.-#100152: https://www.nuswhispers.com/confession/100152","['Like: 4 people', 'Care: 3 people']",0 Comments,7 comments
100151,"Dear alumni and current undergraduates in English & Linguistics, Psych and Philosophy, I would like to ask for your advice on the job prospects for graduates with degrees in the above courses in Singapore. I genuinely feel I am in the wrong course here in NUS and want to transfer to pursue a course that I have much better talent and interest in, and they are as above. Personally I feel my greatest strength is in writing about complex concepts. However I am with little clue as to how the prospects will be, so I am in desperate need of your advice. Thank you-#100151: https://www.nuswhispers.com/confession/100151",['No Reactions'],0 Comments,2 comments
100149,"I got into service business about 10 years ago with a partner and we had a good run.  We grew the business to a sizable team and as owners we could take 5 figures home of salary and dividend every month. About 5 years ago, we decided to venture into restaurants because my relatives do very well and we were looking for diversification. The deal was my partner would continue focusing on the service business while I grow our restaurant portfolio. The first few restaurants did not work out and we incurred some debts. When Covid hit, I decided to closed them down and paid the debts myself because by partners just refused to continue doing it. The Covid also made a big impact on our service business. Our clients have been paying late and suppliers have been chasing. We had to borrow money around to pay for rent and staff salary. For the past 5-6 years I have gone through a lot of things in my life. On top of financial issues, I was diagnosed with mild depression. Physically I also have immune disease that requires me to be on long-term medication. I never told my family members and my parents because my sister's family had her own issues to deal with and I do not want to bother my parents. I often feel alone and lonely facing everything myself. On daily basis, I still have to act strong and together for the sake of my staff. I have to make sure business can sustain and are profitable yet I have always been the last to get paid but the first to resolve conflicts (I am fully aware that as a business owner, this is common).  I used to be a cheerful confident person who views life as full of possibilities. I also love helping people in every aspect of life and it sucks that I have nobody to turn to when I am down myself.  I am not actively thinking of suicide but I am very very tired of living like this. Every call, every Whatsapp message makes me anxious now because they are more often bad news or problems than good. I have got help from IMH but all they did were to give me medications for months. They helped to a point but the medications usually make me too tired to work or too nervous to function well. I feel like I am now just waiting for either a miracle to strike or the courage to finally end it. I have lost all passion in life. I tell myself to be strong everyday but when everyone just came to me for something (money / time / advice / direction) at the same time, I just feel really overwhelmed.-#100149: https://www.nuswhispers.com/confession/100149","['Care: 26 people', 'Like: 16 people', 'Sad: 8 people']",16 comments,3 shares
100146,"How to live with a dysfunctional family? My mother always sings praises of my brother in front of everyone because he earns a lot and is dating this rich girl. But the thing is, he doesn’t give her any allowance because he “needs to save money to buy a house”. And by house he’s looking at private apartments because his gf and her family doesn’t want her to live in a hdb. My mother even told me that she is planning to give my brother some of her savings so that he can afford a condo. I am honestly so frustrated when she told me this. My parents don’t even have enough savings for their own retirements and healthcare needs, and she wants to give her savings to my brother when he can just settle for hdb if he can’t afford a private apartment. And I’m so sick of his demanding gf too who can’t even understand my family’s financial situation. I cannot deal with my mother being so obsessed with my brother and his relationship. There was once when the gf was unhappy with the way my mother interacted with her (I personally don’t think there’s anything wrong because that’s just how my mother is and that’s just her character) that she ‘feedbacked’ to my brother which resulted in my bro complaining to my mother about it. She lost sleep over what my brother said and was so upset, and I ended up being the person she vented to and seeked emotional support from.  And now she even forced herself to change so that she can get closer to my bro’s gf. I’m very angry at this situation because i feel that the gf should just try to accept who we are instead of constantly “feedbacking” about us because we are so unlike her family - and now my bro is always trying to pressure us to be this “perfect” family (mentally manipulating and guilt tripping us by saying that if he falls out with his gf, it’s our fault). Thing is, we will never be perfect no matter how hard we try. At most it’ll just be on the surface. My father doesn’t even care because he just spend most of his time drinking and gambling his money away. Living in this family for 20+ years is so stressful and I’m depressed and anxious. I see no hope in my future and no hope in this family and I don’t even have any support. I tried to tell my mother about my issues (because that’s what everyone says right-confide in your closest about your mental issues) and she straight up told me I’m crazy and told me to go away. I live on tenterhooks everyday and it is affecting me a lot at work too. I can’t even interact properly with my colleagues because of my social and general anxiety-I can’t breathe whenever I have to talk to someone I’m not close with. Tldr; my family is just screwed up, doesn’t understand and doesn’t seek to understand, there is no emotional support at all, I feel like dying and I’m drowning in anxiety. Once bitten twice shy, I have no courage to seek any more help and I’m just spiralling downwards everyday. The addition of my bro’s gf into the picture just adds to the problem because we are being “forced” to appear “perfect” so that my bro doesn’t lose face. And I doubt he even cares about the family anymore because the gf is his key to escape for a better life, that’s why he’s always giving in to her at the expense of the family. Should I just leave and dump this family?-#100146: https://www.nuswhispers.com/confession/100146","['Care: 40 people', 'Like: 34 people', 'Sad: 18 people']",40 comments,11 shares
100186,"Asking for genuine advice here. We are a young couple (26M/ 25F) who have graduated not long ago and started working. Initially, we had planned to get married in the next couple of years and to have at least 2 if not 3 kids as we loved kids. However, the bto delays and sharp rise in housing prices especially for HDB flats have badly affected our plans and left us feeling helpless. We are not high earners, me earning 3.5k and my gf 3k. We have some savings for housing but definitely not sufficient to get an overpriced HDB or private housing without overstretching. Living with our parents is not an option as both our places are old and overcrowded- I live in a 3 room flat with 4 other members while she came from a 2 room flat. We have thought of 4 options:1) Try for a bto. Not easy to get one and even if we successfully ballot for one quickly, it would take 5-6 years for the construction, renovations etc to complete. As we only wanted kids when we have our own place, we may have less kids due to our age.2) Bite the bullet and buy a high price resale flat in a good location. We can't afford to lose our jobs in that case and have to scrimp and save for the loan payment. Cutting back expenses means we probably can only afford to have one kid or have to push back having kids till we have better finances.3) Get a cheaper resale in a far location. We will face a long travel time to our workplaces as we both don't fully wfh. Means we sleep less and may be bad for our mental health idk. Or we have to spend more on grab/taxi or get a car or bike.4) Rent somewhere (room/ shared apartment) and wait for the market to cool down. We don't know if or how long this will take so it's taking a gamble. It's also hard to have kids if we are renting a small place.What will you guys do if you were me?-#100186: https://www.nuswhispers.com/confession/100186","['Like: 19 people', 'Sad: 2 people']",77 comments,7 shares
100176,"Hi Prof Ben, why many parents and students are complaining about the PSLE math questions? Have they seen your CS1010 exam questions? If you are the one setting the PSLE math questions, are we going to see them committing suicide? Personally, I don’t think the questions are exceptionally difficult. Besides, if you are good and you can’t do it, many others will also not be able to do it.-#100176: https://www.nuswhispers.com/confession/100176","['Like: 8 people', 'Haha: 5 people', 'Love: 1 person']",2 comments,3 shares
100160,"The entire reason why parents obsess over grades is because we have created a system (and I say we but I really mean the people running this country) in which grades mean everything. They determine which school you go to, which then determines the kind of people you network with, which determines the quality of teachers, which determines your likelihood of getting a scholarship, which determines how quickly you move up the ranks at a GLC or PSD. Meritocracy by school grades (and CCA) is a flawed meritocracy. Especially the way the grading system works in Singapore. Perhaps if our system defines merit by other qualities in students, we wouldn’t have so many parents going mental over PSLE grades.-#100160: https://www.nuswhispers.com/confession/100160",['Like: 2 people'],5 comments,2 shares
100141,"Hi Prof Ben, I am a part time master student from SOC and I come from EEE background. This is my second semester and I haven't been able to cope too well. I am currently juggling my family and job commitments together and it hasn't been easy to me. I am considering this formal education as a way for me to move towards a more technical area. I really enjoy the learning process and choose those difficult modules that can stretch my learning ability to make my master worth. But my results are kinda bothering me. Does GPA still matters in grad school as much as bachelor when it comes to job transition? And also, is there is bell curve in grad school?-#100141: https://www.nuswhispers.com/confession/100141",['No Reactions'],0 Comments,1 comment
100138,"I feel so disappointed and frustrated with NUS Business School handling of the coronavirus. With the increasing number of cases rising in Singapore and also more NUS Business School student having COVID-19, it surprises me a lot that the Dean presses on with f2f classes as much as possible, justifying the superior experience of hybrid teaching to purely online (Not all classes are hybrid, but purely f2f). While he is transparent about the number of Business student contracting COVID-19, he is insincere in saying that 'The highest priority of NUS-Business right now is the health of our community.' He rebuts with the fact that Well over 90% of 'NUS students are vaccinated; almost all of you are young.  Both factors make your odds of becoming seriously ill quite low.  That said, we also want you to act safely so that you do not infect others.  So please, take both SMM and your education seriously.  We do.' I personally feel that this is hypocritical, priortising the health of NUS students yet saying we are young so its fine because we won't likely fall ill, so it's fine.I don't understand. Why are NUS Staff forced to work from home but NUS Business students are forced to come to school for the superior experience of f2f teaching over online? Is it necessarily true that online classes is not great (poor FASS economics students then)? We can be in classes under group of 50, but outside of class, we can only gather in 2 and dine only in 2? This double standard always surprise me, with that somehow, the classroom is magically less likely to spread COVID-19. For some reason, working in office will likely spread COVID-19 and classroom do not likely spread COVID-19.Most shocking is today (2nd Oct 2021), people were dressed in Hazmat suits, ready to enter into seminar room in MRB that were suppose to be exam venues, but last minute changed. I believe that it was likely for disinfecting, but shocking to see the severity of the issue.Back to my main rant: Can we NUS Business Student have a voice over the type of teaching format for our classes? I don't feel confident going to classes physically with the rise of COVID-19 cases... Unfortunately, this is really #topdown  Don't play with my physical health in the name of superior education, because that is unfair to my mental health too. Will my opinion even matter, despite paying school fee...Regards,A Concern NUS Student-#100138: https://www.nuswhispers.com/confession/100138",['Like: 2 people'],0 Comments,2 comments
