Reference,Date_Clean,Content,Comment,Share,Angry,Care,Haha,Like,Love,Sad,Wow,No Reactions,No Category,Advice,Ask Prof Ben,Funny,Lost and Found,Nostalgia,Rant,Romance
#102238,2022-03-04,"This story is going to be long...I dated my ex for about 2.5 years. We were happy in our relationship and because she has kinda low confidence so I often tried my best to support her as much as I can. However, her family didn’t approve of our relationship because I’m not locally born. We had to date in secret and it was worst when Covid struck due to the many restrictions. Naturally we drifted apart but we tried to see each other as often. One day, she asked for a breakup over text. No quarrel, no signs of unhappiness. We were still calling each other by our pet names the night before. She wanted to be friends and although I was shocked, I thought she just needed a break from me so I agreed. I found out that she started seeing someone less than a month after the breakup. I don’t think she cheated on me because she did told me that her cousin wanted to introduce her to somebody. She told me she has lost feelings for me nearing the end of our r/s. Me being me, I trusted her and I was sure she won’t be able to connect with that guy. Bam I was wrong. They started dating each other and all these while I was kept in the loop cos I was just a ‘friend’. She knew I still had feelings for her. One day, I couldn’t take it anymore and did the no contact rule. We bumped into one another by coincidence after 1 month NC and she initiated a meal. I went. It was a good time of catching up and we agreed to not talk about our relationship status. Soon, we began texting more frequently and went out to play/have meals regularly. She knew I still had feelings for her. Although nothing romantic, we had a simple dinner on Vday as well. I bought some stuff for her which she has accepted them too. I was surprised. I stand a chance right. All these while I wasn’t vocal about my feelings but I’m sure my actions show. If she has dated another person, she would not have agreed to go out with me so many times? And if she considered me as a friend, she would not have started dating so soon right? And like who would want to go out with her ex when she already has a new relationship?Bam. I was wrong again. Turns out they were officially an item around the time we reconnected with each other again. That is about 4 months since our breakup. Her family has also accepted the relationship.  Wow. The pain is intense. I cant fathom what her thoughts were. So any kind souls out there can help interpret why she did what she did? Yes I’m going to put it all down and move on. But I’m gonna use my last bit of energy to try and empathize her actions. A closure from me to me. Thanks for reading!-#102238: https://www.nuswhispers.com/confession/102238",27 ,2 ,0,22,0,10,0,0,0,0,0,1,1,0,0,0,1,0
#102237,2022-03-04,"Just wondering what kind of family do y'all think would try to convince their future daughter-in-law to sign a prenup agreement?My fiance proposed last month and we talked to both sides' families as well. My parents were overjoyed but i kinda felt offended when his parents brought up the idea of a prenup agreement. My fiance currently earns slightly more than 1.5x of me and his parents will be leaving him $60k for his future once he turns 30. With that said, his net worth will probably be 3-4x of mine. I just finished paying off my study loan whereas my fiance was blessed enough financially. His parents said that in this era both man and woman should contribute equally to the household. Here comes the irony: when i asked whether my fiance should also contribute equally to household chores and raising the kids, they said that it is a woman's job. Tbh shouldn't the party with more money contribute more? Do they expect me to give birth to the children, feed and take care of them and also contribute equally to the household expenses? I'm really not sure whether they view every woman out there as golddiggers. I'm a pretty frugal person myself and do not splurge on luxury products. The only branded stuff i have is a pair of chanel earrings i got for myself when i graduated from university. Most of my meals are from food courts and i rarely visit high-end restaurants. Throughout the 5 years of dating, my fiance has never gifted me anything that costs more than $300+/- (except for the proposal ring). Because of this he was able to invest more money and he even said that he was thankful for me as his friends often complained about having to buy their girlfriends dior/chanel/iphones and bringing them to expensive restaurants or cafes.How should i convince them that it doesn't seem reasonable for me to sign the prenup agreement?-#102237: https://www.nuswhispers.com/confession/102237",190 ,11 ,0,0,23,39,0,0,16,0,0,1,0,0,0,0,1,0
#102234,2022-03-04,"I recently cut ties with a toxic person. She was my good friend's best friend so I don't even consider her someone that I need to entertain. She's always boasting about how rich her bf is. Details that I do not need or want to know about, she would keep telling me. I cannot stand her extreme insensitivity to flaunt her bf's wealth when many of us are struggling to even earn enough money due to covid. Besides, the bf is not the one with the money, it's the bf's father who's rich. Recently she celebrated their anniversary with her bf at a Michelin star restaurant and blew over $1000 on a meal. Posted on ig about it and claim they are dirt poor and have to eat instant mee for a month. Maybe I already don't like her already, I find everything she says disgusts me. The final straw is when she openly look down on me and my bf when we went to our favourite korean food joint to celebrate our anniversary. She told me it's a meaningful day why go to such a cheap place. That's it for me. She can get the f out of my life forever. Blocked her and never looked back. Why such disgusting people exist?-#102234: https://www.nuswhispers.com/confession/102234",0 ,4 ,0,2,5,20,0,0,0,0,0,0,0,0,0,0,1,0
#102232,2022-03-04,"Currently with my bf for 3 years but just felt like he isn't the one anymore due to some factors and really feel like ending it. However, just feels like something is holding me back from doing so. But at the same time, I have a male co-worker who is close with me and asks me out for lunch, helps carry things and just simply helps out at work. Although these could just be friendly gestures from a superior, but somehow I'm quite touched by his actions. What do you guys think?-#102232: https://www.nuswhispers.com/confession/102232",0 ,27 ,0,0,13,12,0,0,0,0,0,1,0,0,0,0,0,0
#102231,2022-03-04,"Recently, I don't know why I keep thinking a lot. Thinking about how to find a partner haha. Then, I realize it's difficult to do so because of my introverted personality and I seldom interact with any male friend on one to one basis. Even if I am going out with someone else alone, it will always be with my female friend. Because I feel quite comfortable to go out and chit chat with friends of the same gender. There was an ex colleague that I had a crush on one year ago. Until now, I still find him cute and adorable. Anyway I really feel very shy to talk to him, but then I really want to know him more. In the end, I didn't because it is very scary to be in an awkward one to one environment with a guy. Unless the guy is very talkative haha, then I won't feel awkward.I don't know why I feel so sian about myself. As in I don't think I have any problem with my life now. I feel quite satisfied with my job and my family is doing okay. My parents' heath conditions are better than two years ago. Everything seems quite smooth and I am very thankful of all these. I also meet my female friend to exercise every week. However, somehow I feel that I also want to find a partner, but then I very paiseh to talk to a guy and I don't know what to talk about. And, I am not interested in the talkative one. I have a male friend who likes to talk a lot about anything in front of me. I quite enjoy talking to him, but I don't think that I have any romantic feeling about him.The ex colleague that I had crushed on is probably an introvert. Then, I kept dreaming that he taught me the things about the work when I just joined the company. So nice, so cute and adorable. But I don't dare to talk/text him since he is not in this company anymore...Thanks for listening to me here ????-#102231: https://www.nuswhispers.com/confession/102231",10 ,1 ,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0
#102230,2022-03-04,"I have this friend who is suffering from depression, so when they asked me for a loan to start their own little business, I was glad to lend them some money without interest. This is to help them have a start in something that might give them a purpose or reason to live.It is not much money, but we will say it is about a month worth of salary for a worker fresh in the workforce.Fast forward a few months, they suddenly claimed to have fallen into a sort of emotional slump, asked for time alone and very much just ignored texts to check in on them and whatnot.I have been monitoring their business and it seems that nothing much had been done to promote or even keep it going. Even the total stock count in their carousel store has a total value less than what I loaned them.Before this ""slump"" happened, they seemed to have used part of the money to buy gifts for people . The thing is, even if I do not want the money back, it seems wrong to have someone you trust and want to help, squander or waste the money you lent them out of goodwill.It also feels like they got close to me just to get me to lend them money, then decide to distance themselves once they got what they wanted, however I am trying to believe that they are truly in a slump and not doing thatHow should I go about asking them about the money. I know I could just leave them alone and forget about their existence if money was not the issue, but it just feels like a betrayal of trust.-#102230: https://www.nuswhispers.com/confession/102230",0 ,17 ,0,0,3,2,0,3,0,0,0,1,0,0,0,0,1,0
#102227,2022-03-04,My day was made when I saw this girl from computing. At first I saw her on Facebook using the VR set. She had golden brown hair and curly at the end. She wore a dark blue computing tee. Wished i know which metaverse space she is from.-#102227: https://www.nuswhispers.com/confession/102227,7 ,3 ,0,0,8,8,0,0,1,0,0,0,0,0,1,0,0,1
#102225,2022-03-04,"I recently switched my job with a good increment. Let’s say I got into ‘Role A’.On my first day, I came to know that Role A is no longer available and I was offered Role B instead. What should I do? Stay or leave? (I don’t have an offer in hand, I have to find a job and can’t afford to quit) I am not exactly interested in having short stints (ie 1-2 years ) in my resume and I am in my mid thirties in a growing industry but non-ITHere are the pros and cons.Pros* Pay is good and benefits too.  * Reasonable boss, but can be pushy at times.* Above Average job security* Coworkers are supportiveCons* I don’t exactly like Role B, even though I can do it with some extra effort. * Role B career prospects are not that great, it felt like a demotion without a pay-cutthanks in advance!-#102225: https://www.nuswhispers.com/confession/102225",10 ,2 ,0,0,0,9,0,1,1,0,0,1,1,0,0,0,0,0
#102224,2022-03-04,"HiI'm 30 this year and I'm living with my bf for 1 year just 2 of us.During this 1 year it is like honeymoon period to us and we are now engaged and our wedding will be 2nd half of the year. We are very happy to have each other. There is 1 habit that lies with me, as whenever I'm at home, I tend to take off my clothes and jus wear a tank top or t shirt with panties lounging around. Normally my tank top and shirt is normal size so that's expose my underwear . But for me I'm the type who cares when you are at the beach you're wearing more lesser than now.On and off when my bf was around I was being rant and  told to wear appropriately. But I'm being myself why must I wear so much at home. and I felt more comfy as the climate in our country is like da fug.Occasionally, when there were food order or parcel I will jus open the door regardless male of female and in a nick of sec to collect at the door. So far there is also no issue with them. And I think is perfectly jus fine as I'm not naked dude. I'm still wearing something and covered all my important parts. I'm not sure if we are married next time will he tend to bound and restrict what I want to wear.I've been thinking about this issue as I'm not fond of ppl controlling what I'm wearing.Any advises?-#102224: https://www.nuswhispers.com/confession/102224",74 ,11 ,0,0,39,28,0,0,0,0,0,1,0,0,0,0,1,0
#102222,2022-03-04,"Hope this post doesn't get deleted as I really need some serious advice. I just quit my $7k job due to toxic environment, micro managing boss. Have not gotten a job yet. I don't mide getting a lower paid job/title but interviews i went to rejected me due to 'over qualified'. I do see some of those mid career transition course stuffs online but it's overwhelming that I'm not sure which to switch. Hope reader here can help me with some tips and avenue to find a job quickly. THANKS!-#102222: https://www.nuswhispers.com/confession/102222",7 ,4 ,0,7,0,23,0,2,0,0,0,1,0,0,0,0,0,0
#102221,2022-03-04,Is it normal for a guy (single) 28 to have a smelly bolster? Will girls take that into consideration before dating me?-#102221: https://www.nuswhispers.com/confession/102221,35 ,5 ,0,0,15,8,0,0,0,0,0,1,0,0,0,0,0,0
#102220,2022-03-04,I just found out that my gf was a sugar baby few years ago. We have been together for 2 years and she never really talked about her past relationship. Until I accidentally saw a few whatsapp conversations from her whatsapp. She used my laptop to log in her whatsapp and forgotten to sign out. She didn't cheat on me and we have been really good. Should I let go of her past or should I just break up with her?-#102220: https://www.nuswhispers.com/confession/102220,43 ,4 ,0,0,21,19,0,0,0,0,0,1,0,0,0,0,0,0
#102219,2022-03-04,"Guys I want to ask, is it normal to feel mad and less motivated at work cuz of this? Previously my boss agreed to pay $$ amt of money for my full time salary. It's a start up company so the mgt side i would say it sucks. It's rlly jst a small team tryna build client's presence ba. But onwards he didn't promise the $$ as planned and blame me cuz of my working performance. Here, I wouldn't say I'm the best of the best, but I rlly put effort to it and sometimes i have new ideas, i let my boss knows but he tend to jst stick w the same thing ( yet expect outstanding results). End up will blame me if things aren't go well. I somewhat unds his reasons, but if he weren't want to give me dat $$ of salary, u shouldn't provide empty promises uk. Some more he deduct quite a lot n say cuz my workload wasn't that much. WHEN IN FACT, i tried to propose new ideas so i can add more responsibilities for myself and providing more results. Another new colleague of mine, he also paid less likely the same amt of $ from my current one. He like v enthusiast with the work and my boss like v appreciate him (but it's unfair when it comes to me, he like dwanna bother me but when my colleague explain the same shit w my documents, he likes it. Wtf is wrong w my boss idk...) If he knew that his salary would have been arnd $$, he probably would be feeling heartpain upon after knowing this.Overall, what i want to say is, why empty promises.. whyy... Deduct so much some more, why... If u dont have that much of budget u don't have to mention at the first place and tryna convince me work w u but end up scam me with it...-#102219: https://www.nuswhispers.com/confession/102219",0 ,13 ,0,0,4,8,0,1,0,0,0,1,0,0,0,0,0,0
#102217,2022-03-04,"Hello, might need a lil advice here.Think I'm going nuts in life. It's pretty long story if i have to type in here. But basically I'm just tired of everything although this is the path I have chosen . Ik this path is very scary and risky. I ahve to sacrifice a lot of things I used to feel comfortable and scratch a new version of me to be better (at least i hope is better cuz i bet myself with it). But the journey is rlly exhausting. It screw my mental and brain continuously. I'm not sure is it bcs I tend to think this way, or the situation is just way too challenging and I'm tired. I always tried to get back myself up thinking if other people can do it, i should be able to do it too. But ends up it's tormenting inside. I feel like I don't feel alive for so long.. maybe this are due to accumulated things happened and it destroys me to the fact that if I leave this world today, I'm okay with it. I have nothing to lose anyway because I'm fighting for smth rlly big and i bet my life for it (which is nth to lose too cuz if not dats gonna be 100% failure for life). But ofcoz, to choose whether to stay alive or dying, me personally want to give life another chance. Hoping this will work (ofcoz not jst hope but i do push hard for it and sometimes i push what's uncomfortable to me until i burn out but I'm used to it so i push further). Usually i can cope with it although I'm ded inside. But recently feels like I'm totally dead? often questioning my life and my journey. Is it I'm doing the right thing? Will things gonna be ok? Is my ""nothing to lose"" journey gonna be ok? I know it may sounds confusing, pardon me if i explain like v hard to understand. But overall I'm just tired. Need someone to enlighten me and if everyone suffer this too, we are not alone and maybe you can hear few advice from the comments too.-#102217: https://www.nuswhispers.com/confession/102217",0 ,2 ,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0
#102216,2022-03-04,"Need advice.I am a 25-year-old woman with a stable job and earning another degree. I have a boyfriend of 5 months who's just turning 20 this year and is still currently on the last year of high school since he had too much going on before to let him move forward with his education. He is also working while studying but always has time for me.My problem is, I'm the one who doesn't have time for him. I am so busy daily that I only get to send 10 messages max during weekdays and yet he doesn't mind and waits for me patiently. I feel sorry for him too because our interests doesn't seem to match that much. He loves gaming and I don't, he loves movies and anime and I don't, he loves adventures and I don't. I don't even know what he sees in me because I don't even talk much. I love him a lot and I want to be with him still as right now we are doing LDR due to work. I still get jealous when girls approach him and I definitely love the attention he is giving me. I just can't reciprocate it.Recently, we sat down for a serious talk about myself because he doubted that he makes me happy and while I know for myself that he does, I have a hard time expressing it and I end up staying silent and causing a misunderstanding. I told him he can leave me if it's too tough but he's still very enthusiastic with me.Is there anyone out there who's having a hard time showing affection or bringing themselves to put much effort even if you want to? I try to buy him gifts all the time but it seems like that doesn't work as he isn't into material things. He wants my time and my affection but I don't know how to. Help?-#102216: https://www.nuswhispers.com/confession/102216",31 ,2 ,0,0,4,19,0,2,0,0,0,1,0,0,0,0,0,1
#102215,2022-03-04,"I don't believe in love anymore. With the current situation it's even harder to meet anyone. I hate dating apps. I feel stressed being judged for my looks first. I don't want to fight with the younger women for dates and I don't trust men. I thought I had a chance with him because I thought he can see pass my appearance and appreciate my inner beauty till his stupid wife found out about me. Since she doesn't seem to pay any attention to him I thought I shall try and make things work with him since I like him and I thought he liked me too. I miss him the most when I'm feeling lonely. I know it's wrong to have feelings for a married man. But I cannot help but wonder what if he chose me instead. I thought I almost had him right where I wanted him. We have been texting daily. I met him for lunch once while he had errands to run and I pretended to be in the area. It felt like a lunch date, I was secretly elated. I placed my hand on the table, waiting for him to hold my hand but he didn't. It was hard trying to find excuses to meet him alone. He was always busy but he always had time to text me. He was incredibly private about his wife so I was never able to find out if he slept with her the night we text. I suppose since he talking to me, he's not touching her. I was able to find out what kind of women he like. I was able to make him do and say things but I just can't make him reveal anything when it comes to his wife.I have so much mixed feelings about him. I can't contact him anymore but I always see traces of him everywhere I go. When I meet someone I will compare the guy to him. I feel I'm not even allowed to be sad for losing him. Words spread and I have to stay away from mutual married friends because I guess his stupid wife talked. No matter what, my feelings are valid. Why do I have to be the one in hiding? He didn't resist when I got close to him! Maybe he didn't love me yet but he did enough to make me believe we have something special happening. I'm angry too. I feel grief yet I can't grief. Why did I get close to him? Why am I so drawn to him?  Did I misunderstood everything? He told me everything we had was wrong. I was so shocked and angry to hear him say that. I can't even tell him  I thought we had something special after he said that to me. We didn't reach a stage where we can define our relationship. So I was just a friend? I didn't feel that way. How can I accept this? Did he use me? I thought I had the upper hand all along and yet I feel shattered when he told me he don't want to see me again. I hate him and I miss him. He don't deserve to be happy for breaking my heart. I never uttered a single word to him after he rejected me. I will never let him know how I feel. He can carry on guessing for the rest of his life!-#102215: https://www.nuswhispers.com/confession/102215",39 ,5 ,0,0,26,12,0,0,5,0,0,0,0,0,0,0,1,0
#102213,2022-03-04,"Dear mr __, there is never a day that past by without thinking of you, and it comes in all forms of emotions. I've past my 21st birthday without you, the 1st birthday actually, and I'm being pushed to take up my things from my parents. I met a new guy but we didn't work out. I can hear you calling me ""dumb dumb"", because I chose to dive in and hurt myself although we were incompatible from the start. I'm as desperate as always, but I finally understood the meaning of healing myself before loving others. Hope you've been well, but hope that we will never interact... I still can't find the courage to face you, your face brings back too many bad memories. This is how independence feels like, right?-#102213: https://www.nuswhispers.com/confession/102213",0 ,0 ,0,6,0,3,0,0,2,0,0,0,0,0,0,1,1,1
#102211,2022-03-04,"I have an interest in this colleague who’s going to leave the company, and I’m thinking whether or not if I should make a move for it. I’m not sure if the feeling is mutual, so I’m really hesitant about it.I have seen advices like “don’t shit where you eat”, but this would not be a workplace romance right? Would it still be okay to go for it?-#102211: https://www.nuswhispers.com/confession/102211",10 ,1 ,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1
#102207,2022-02-28,"I have a toxic mother. She hurt me a lot but my daughter healed me.When I was a child, I grew up being told that I'm pretty by people around me. My mother would sign me up for beauty contests for little girls and I've won a few times. She was very proud of me winning those contests. Thinking back, I think she was living her dreams through me. I think I have a twisted view about beauty at a young age due to the lifestyle. I was too tall for my age and don't really look child-like enough and I was not developed enough for other ads that preferred teenagers so I don't have a lot of jobs. I remembered she cried once when I was rejected from a job due to my height. I was too tall, it was a group shot and I needed to blend in, not stick out like a giraffe. For a while I actually felt sorry for being tall. I was just following what my mother wanted me to do. I also remember her making me feel I was not good enough. She always reminded me to be grateful to her for giving birth to me. If I did good, she would say its thanks to her. If I did bad, she would say it's my own doing. The relationship between my mother and me changed when I became a teenager. I'm no longer a little girl. She started to hate me I guess. She would make fun of my appearance. Make snide remarks to me when I share with her about my life. Sometimes I felt she was competing with me. Took me many years to think she may be jealous of me. If someone praised me she would say its thanks to her that I'm like this or that. She would tell me my nose is so flat unlike hers and I should fix it. She would point out flaws about my face that I didn't even notice myself. Kept saying she looks taller than me. She's 163cm while I'm 168cm. I love to enjoy my food and she would tell me don't eat too much skin and fried food else I will become fat. I was around 45kg. It really messed up my mind then. I start to have a weird relationship with food too.During school orientation day, the school held a Mr. and Miss Popular contest. I won and was Miss Popular. I was excited to share the news with my mum. But she said I must have won because the judges are blind and there must be not much choices. She often use the chance to demean my looks. I have been pranked by boys who pretended to like me, only to run off when I let my guard down. So I became wary whenever a guy approaches me. My mum knew about it and have no sympathy for me. I felt I was never good enough for her. While my brother was always the best in her eyes. I finished school relationship free and started work. My mum told me  I picked a lousy job but she was boasting to her friends behind my back. I heard her talking to her friends on the phone while at home so I knew. I don't know why is it so hard for her to say anything nice to me for once. I was away half the time so I'm glad to have time away from her. So she has lesser of a chance to hurt me with her words. I met someone and got married. Had my own daughter. My mother offered but I decided to not have my mother involved in my child rearing duties. She may visit and play but I won't allow her to care for my child because I didn't want her to influence my daughter and be obsessed about looks.Other than my main job, I dabbled in arts and it grew and also became an online business. She told everyone I got my artistic skills from her. But she has no knowledge or experience in my craft. I did not show my face on my social media sites so I was sure I was being recognized for my talents. My mother did not hesitate to put me down too. Because of covid, one of my old art videos happened to get reshared half a million times. Business was boosted overall as a result. Of course my mother did not hesitate to tell me I was just lucky. My daughter has grown up and is a young teenager now. I swore to have a different relationship with my own daughter. Because of my childhood, I'm quite conscious of what I say to my daughter. My daughter is a very expressive young lady, once she thanked me for giving birth to her. It's just a short sentence but an impactful one to me. I cried buckets after she said it.On one side, my mother is constantly demanding I be grateful to her for being born. On the other side, my own daughter thanked me for having her and said it with ease. I feel I'm no longer the little girl wanting approval from my own mother. My daughter's unconditional love for me has healed me.-#102207: https://www.nuswhispers.com/confession/102207",12 ,9 ,0,67,0,130,43,0,0,0,0,0,0,0,0,1,0,0
#102204,2022-02-28,"Am i overly insecure like what my bf claims?Bf works in the bank and has quite a few attractive colleagues and he also admitted that he finds them above average looking when I casually asked him. I can't help but feel uncomfortable that they seem too close. At times my bf has dinner and drinks with them after work (sometimes there are other guys present as well) and there were a few occasions where they even met up on the weekends for meals or workout classes. I expressed my unhappiness to him but he said that i am overthinking as he only treats them as friends. But do normal colleagues of opposite genders really have dinner together after work hours 1 on 1 so often and chat about non-work related stuff on a regular basis? As far as i know, all the girls except for 1 are single... if that even matters. For myself i try to keep a reasonable distance from my male friends/colleagues when i am in a relationship because i feel like this is a form of basic respect for your partner. Is it wrong of me to expect the same in return? Pls help -#102204: https://www.nuswhispers.com/confession/102204",63 ,15 ,0,20,0,58,0,10,0,0,0,1,0,0,0,0,1,0
#102203,2022-02-28,"I would like to pose a burning question to the ladies here in this anonymous platform, one which I would otherwise, dare not ask them in person.Why do girls like to reveal so much skin on campus? Based on my close-to-10-year observation, the ""to-go"" dress code for majority of campus girls would be a tank top which shows their cleavage and belly button coupled with a pair of mini jeans which parades their butt cheeks. So my question is WHY? Why show off your most priced assets to everyone? Who are you trying to impress? Your boyfriend? Your crush? If your boyfriend asks you to dress skimpily on campus so that he can feel your love or for whatever selfish reasons, my advice to you is please immediately dump his sorry ass! He is not doing you any good! Furthermore, some lecture halls are damn cold, so I wonder how do you all concentrate sitting in the cold, shivering for the entire 2-3 hour lecture.Ya, the weather in SG is crazy hot sometimes, but wouldn't it be more comfortable to wear something like a t-shirt instead? You would do yourself a great deal by eliminating the unwanted attention and occasional stares from thirsty guys. Or maybe, just maybe, you crave for these unwanted attention and occasional stares from thirsty guys???-#102203: https://www.nuswhispers.com/confession/102203",147 ,19 ,0,0,54,47,0,0,0,0,0,1,0,0,0,0,1,0
#102202,2022-02-28,"[career advice - quant finance?] I recently got accepted to NUS MS in quant finance, and I was wondering what the prospects for a quant finance graduate look like. Would Prof Ben happen to know? I tried googling/LinkedIn-Ong different combinations of words in the phrase “NUS masters quantitative finance alumni prospects” but can’t find anything substantial. Importantly, if I want a career switch into finance, what are the important things prospective employers look at? I applied to math programs at NUS out of interest in math, but thought this could open doors to other career opportunities. sincerely, A mathophile who isn’t doing much math at work-#102202: https://www.nuswhispers.com/confession/102202",5 ,2 ,0,1,0,8,0,0,0,0,0,1,1,0,0,0,0,0
#102201,2022-02-28,"Just a rant from the spouse of a junior doctor. My husband goes to work daily before 5am and only ends work after 7.30pm. Sometimes, he does 30h to 32h calls which is from 5.30am till 1pm the next day. He works more than 100h a week when the contract says not more than 80h. He works both weekends and once worked 20 days consecutively. It is common to work for 14 days in a row and I have heard some horror stories of his friends working 30 days straight without a day off. He doesn't reflect his true working hours in the system as if you get caught for working more than 100h, they won't investigate why you overworked, they will investigate why YOU overworked. Thus, to avoid all the troubles, it is a common practise to under report the actual working hours.My husband doesn't bring home much. His starting pay is $4k before CPF deduction and with all the on-calls and weekend half-days, that brings maximum another extra $1k - $1.5k. Is $5k justifiable for >400h of work per month? I don't think so.They have no time and energy for their loved ones. He comes home late and usually will continue reading up until he falls asleep at his desk. We hardly date because he has to work and albeit saying that he is not tired and he can go on a date with me, I know he is and I'll prefer to let him sleep in. We have been delaying our wedding because he is too busy and we are still saving up. Will MOH wake up their idea? No, that's why healthcare workers get claps and not a better working system. Thank you for listening to my rant.-#102201: https://www.nuswhispers.com/confession/102201",101 ,62 ,0,125,0,323,0,111,0,0,1,0,0,0,0,0,0,0
#102200,2022-02-28,"TLDR: Gf is a model and I'm uncomfortable with photographers commenting on her bodyFellow brothers, I desperately need advice!!!! My gf and I been together for nearly 4 months. We took some modules together, but it is only recently that we started dating. My gf is very pretty, slim and has long black hair to her waist. She does freelance modelling and her IG is full of photos of herself doing blogshop modelling or event ambassadorship. She models for almost anything except hair, as she doesn't like others touching her hair.Few days back, she was due for an assignment for a sports themed photoshoot after class. She asked me to come along. The studio was set up within an industrial area and when we arrived, there were already many people there. An aunty immediately hurried her to the changing room, while I was left along to sit on the sofa. Within 10 min, my gf came out clad in the tiniest blue bikini I have ever seen, with only a few strings to secure. I honestly didn't realise she had such a nice figure before.To my horror, there were 3 uncles as the photographers. She seemed very much at ease with this. During the actual shoot, the photographers told her to pose in all kinds of poses, and I could hear them commenting on her body. My gf even laughed and joked with the uncles. The assignment paid well and she treated me to a nice dinner after. But I felt uneasy about it all. Somehow, it seemed so wrong. How do I talk to her about it without sounding insecure or controlling? Any advice?-#102200: https://www.nuswhispers.com/confession/102200",70 ,8 ,0,0,40,48,0,0,0,0,0,1,0,0,0,0,0,1
#102197,2022-02-28,"Recently I saw so many of my insta acquaintances setting up their own physical shops and I’m pleasantly surprised. Is it easy to open up a shop in sg? How do they know what to do (considering my age group I’m 24 this year) apart from the financial burden, eg. paperworks, renovation, location choosing etc etc.. Is there a website or some links anyone can drop if I’m planning to open something like a lash studio or potomat like shops? I tried to do a Google search but was directed to agents website or either that I don’t find anything useful out of it. Would be most concern about the official paperwork segment. Thank you so much in advance ????-#102197: https://www.nuswhispers.com/confession/102197",23 ,4 ,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0
#102195,2022-02-28,"In need of advice whether or not I should continue with SCAQ.I'm in one of the big4 and the company requires staff to have SCAQ to become a manager. However, I don't see myself being an audit manager. Maybe in one of the other departments I could become a manager... I have also failed the assurance paper due to my own incompetency and a little due to the tuition provider (heh). Becoming a CA increases your pay but I don't know if I will even be in this field. If I should be, I would likely be in tax or a data analyst, both of which don't seem to require a CA title.Any thoughts?-#102195: https://www.nuswhispers.com/confession/102195",4 ,1 ,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
#102194,2022-02-28,"Husband self pleasures using my friends' photos, what should I do?Me and my husband have known each other for 8 years and married for 3 years. I'm currently pregnant with our first baby. The doctor advices us to stop s** for a while to avoid miscarriage, and I also don't feel the need, so we agreed that my husband would finish himself off.The thing is, I found out that he hasn't been using normal p**n. Instead, he has been using images of some of our friends. We met each other in uni, so we have lots of common friends. Some of them are teaching yoga, practicing belly dance, or modelling, so they occasionally upload photos in sexy poses to Facebook and Instagram, and my husband is using that. Among them there are some really close ones that often visit our house for dinner, and that really concerns me.So far my husband has been really nice to me and takes good care of me. I'm sure he hasn't cheated yet, physically at least, because he works from home everyday and never leaves the house without me. Still, I feel uneasy with the situation. From my pov, I can see 3 options: 1. Leave it be and forget about it. 2. Confront him and risk having a huge quarrels or 3. Initiate to help him ease the urge. What should I do then?-#102194: https://www.nuswhispers.com/confession/102194",68 ,26 ,0,0,58,49,0,0,25,0,0,1,0,0,0,0,0,0
#102192,2022-02-28,"#10217 haha i did fyp with my prof and she turned out to be quite nice but my classmate says she is horrible. (i didn't think much of it when i chose her, not going to expose anyone here). i guess you can just go around asking which prof is friendlier or you can sort of sense it from the way they lecture or if you ever ask them questions. sometimes, when you hear horror stories, the student complaining to you may unknowingly play a role in creating that toxic relationship. so i guess u should look at it with an open mind. fyp is an interesting experience imo...-#102192: https://www.nuswhispers.com/confession/102192",0 ,1 ,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0
#102191,2022-02-28,"When I was a teenager I was fat. I eat KFC and Macs like almost everyday. I didn't care about diet until I reach 17,18. Picked up a few sports. Lost the weight and never looked back. I'm on good terms with my cousin. We used to go out and play when we're young. We meet lesser as adults but still meet when we can. He is a few years younger than me. When he was younger he was very fit and play basketball for his school. Now after NS, he has turned very big sized. I won't use the word fat on him because he's also quite tall, but the weight has caused his face to look bloated in some angles. My aunt has been nagging at him to lose weight because of some family medical history issues. I wanted to mind my own business until my mum also try to convince me to talk to my cousin about losing weight. Because I managed to lose weight when I was a teenager they think I'm the best person to talk to my cousin and transform him.Remembering how I'm being laughed at and ridiculed during my fat days brings back unpleasant memories and I don't want to hurt my cousin by saying the wrong thing. No matter what I say to my cousin, the hidden end message is going to be 'you're fat, lose weight'. How do I talk to him about it without hurting his feelings? I meet him like once or twice a month so my aunt and mum are expecting me to report back soon.-#102191: https://www.nuswhispers.com/confession/102191",34 ,5 ,0,14,0,23,0,0,0,0,0,1,0,0,0,0,0,0
